id	simp	current_unit	target_unit	manifest_id	manifest_old	tag	match_mode
L7-0069	办不到	b79-m1-cause-effect	b7-general-formal	L7-0069	b79-m1-cause-effect		id+simp
L7-0070	半边天	b79-m1-cause-effect	b7-social-culture	L7-0070	b79-m1-cause-effect		id+simp
L7-0071	半场	b79-m1-cause-effect	b7-culture-sports	L7-0071	b79-m1-cause-effect		id+simp
L7-0072	半岛	b79-m1-cause-effect	b7-nature-geography	L7-0072	b79-m1-cause-effect		id+simp
L7-0073	半路	b79-m1-cause-effect	b7-general-formal	L7-0073	b79-m1-cause-effect		id+simp
L7-0074	半数	b79-m1-cause-effect	b7-academic-logic	L7-0074	b79-m1-cause-effect		id+simp
L7-0075	半途而废	b79-m1-cause-effect	b7-idioms-formal	L7-0075	b79-m1-cause-effect		id+simp
L7-0076	半信半疑	b79-m1-cause-effect	b7-idioms-formal	L7-0076	b79-m1-cause-effect		id+simp
L7-0077	半真半假	b79-m1-cause-effect	b7-idioms-formal	L7-0077	b79-m1-cause-effect		id+simp
L7-0078	扮	b79-m1-cause-effect	b7-culture-arts	L7-0078	b79-m1-cause-effect		id+simp
L7-0079	伴	b79-m1-cause-effect	b7-social-emotions	L7-0079	b79-m1-cause-effect		id+simp
L7-0080	伴侣	b79-m1-cause-effect	b7-social-emotions	L7-0080	b79-m1-cause-effect		id+simp
L7-0081	伴随	b79-m1-cause-effect	b7-general-formal	L7-0081	b79-m1-cause-effect		id+simp
L7-0082	伴奏	b79-m1-cause-effect	b7-culture-arts	L7-0082	b79-m1-cause-effect		id+simp
L7-0083	拌	b79-m1-cause-effect	b7-general-formal	L7-0083	b79-m1-cause-effect		id+simp
L7-0084	帮手	b79-m1-cause-effect	b7-social-work	L7-0084	b79-m1-cause-effect		id+simp
L7-0085	绑	b79-m1-cause-effect	b7-general-formal	L7-0085	b79-m1-cause-effect		id+simp
L7-0086	绑架	b79-m1-cause-effect	b7-politics-crime	L7-0086	b79-m1-cause-effect		id+simp
L7-0087	榜样	b79-m1-cause-effect	b7-social-virtues	L7-0087	b79-m1-cause-effect		id+simp
L7-0088	棒球	b79-m1-cause-effect	b7-culture-sports	L7-0088	b79-m1-cause-effect		id+simp
L7-0089	磅	b79-m1-cause-effect	b7-academic-logic	L7-0089	b79-m1-cause-effect		id+simp
L7-0090	包袱	b79-m1-cause-effect	b7-social-emotions	L7-0090	b79-m1-cause-effect		id+simp
L7-0091	包容	b79-m1-cause-effect	b7-social-virtues	L7-0091	b79-m1-cause-effect	polite	id+simp
L7-0092	包扎	b79-m1-cause-effect	b7-health-medical	L7-0092	b79-m1-cause-effect		id+simp
L7-0093	剥	b79-m1-cause-effect	b7-general-formal	L7-0093	b79-m1-cause-effect		id+simp
L7-0094	煲	b79-m1-cause-effect	b7-culture-food	L7-0094	b79-m1-cause-effect		id+simp
L7-0095	饱和	b79-m1-cause-effect	b7-finance-business	L7-0095	b79-m1-cause-effect		id+simp
L7-0096	饱满	b79-m1-cause-effect	b7-social-emotions	L7-0096	b79-m1-cause-effect		id+simp
L7-0097	宝库	b79-m1-cause-effect	b7-culture-heritage	L7-0097	b79-m1-cause-effect		id+simp
L7-0098	宝藏	b79-m1-cause-effect	b7-culture-heritage	L7-0098	b79-m1-cause-effect		id+simp
L7-0099	保管	b79-m1-cause-effect	b7-finance-business	L7-0099	b79-m1-cause-effect		id+simp
L7-0100	保姆	b79-m1-cause-effect	b7-social-work	L7-0100	b79-m1-cause-effect		id+simp
L7-0101	保暖	b79-m1-cause-effect	b7-health-lifestyle	L7-0101	b79-m1-cause-effect		id+simp
L7-0102	保鲜	b79-m1-cause-effect	b7-tech-science	L7-0102	b79-m1-cause-effect		id+simp
L7-0103	保修	b79-m1-cause-effect	b7-finance-business	L7-0103	b79-m1-cause-effect		id+simp
L7-0104	保佑	b79-m1-cause-effect	b7-social-culture	L7-0104	b79-m1-cause-effect	polite	id+simp
L7-0105	保障	b79-m1-cause-effect	b7-politics-diplomacy	L7-0105	b79-m1-cause-effect		id+simp
L7-0106	保质期	b79-m1-cause-effect	b7-finance-business	L7-0106	b79-m1-cause-effect		id+simp
L7-0107	保重	b79-m1-cause-effect	b7-social-nuance	L7-0107	b79-m1-cause-effect	polite	id+simp
L7-0108	堡垒	b79-m1-cause-effect	b7-politics-society	L7-0108	b79-m1-cause-effect		id+simp
L7-0109	报	b79-m1-cause-effect	b7-general-formal	L7-0109	b79-m1-cause-effect		id+simp
L7-0110	报仇	b79-m1-cause-effect	b7-social-nuance	L7-0110	b79-m1-cause-effect		id+simp
L7-0111	报酬	b79-m1-cause-effect	b7-finance-business	L7-0111	b79-m1-cause-effect		id+simp
L7-0112	报废	b79-m1-cause-effect	b7-finance-business	L7-0112	b79-m1-cause-effect		id+simp
L7-0113	报复	b79-m1-cause-effect	b7-social-nuance	L7-0113	b79-m1-cause-effect		id+simp
L7-0114	报社	b79-m1-cause-effect	b7-culture-media	L7-0114	b79-m1-cause-effect		id+simp
L7-0115	报亭	b79-m1-cause-effect	b7-culture-media	L7-0115	b79-m1-cause-effect		id+simp
L7-0116	报销	b79-m1-cause-effect	b7-finance-business	L7-0116	b79-m1-cause-effect		id+simp
L7-0117	抱负	b79-m1-cause-effect	b7-social-emotions	L7-0117	b79-m1-cause-effect		id+simp
L7-0118	豹	b79-m1-cause-effect	b7-nature-fauna	L7-0118	b79-m1-cause-effect		id+simp
L7-0119	暴风骤雨	b79-m1-cause-effect	b7-idioms-formal	L7-0119	b79-m1-cause-effect		id+simp
L7-0120	暴利	b79-m1-cause-effect	b7-finance-business	L7-0120	b79-m1-cause-effect		id+simp
L7-0121	暴躁	b79-m1-cause-effect	b7-social-emotions	L7-0121	b79-m1-cause-effect		id+simp
L7-0122	曝光	b79-m1-cause-effect	b7-culture-media	L7-0122	b79-m1-cause-effect		id+simp
L7-0123	爆冷门	b79-m1-cause-effect	b7-idioms-formal	L7-0123	b79-m1-cause-effect		id+simp
L7-0124	爆满	b79-m1-cause-effect	b7-culture-social	L7-0124	b79-m1-cause-effect		id+simp
L7-0125	爆竹	b79-m1-cause-effect	b7-culture-holidays	L7-0125	b79-m1-cause-effect		id+simp
L7-0126	卑鄙	b79-m1-cause-effect	b7-social-emotions	L7-0126	b79-m1-cause-effect		id+simp
L7-0127	悲哀	b79-m1-cause-effect	b7-social-emotions	L7-0127	b79-m1-cause-effect		id+simp
L7-0128	悲观	b79-m1-cause-effect	b7-social-emotions	L7-0128	b79-m1-cause-effect		id+simp
L7-0129	悲欢离合	b79-m1-cause-effect	b7-idioms-formal	L7-0129	b79-m1-cause-effect		id+simp
L7-0130	悲痛	b79-m1-cause-effect	b7-social-emotions	L7-0130	b79-m1-cause-effect		id+simp
L7-0131	碑	b79-m1-cause-effect	b7-culture-heritage	L7-0131	b79-m1-cause-effect		id+simp
L7-0132	贝壳	b79-m1-cause-effect	b7-nature-fauna	L7-0132	b79-m1-cause-effect		id+simp
L7-0133	备课	b79-m1-cause-effect	b7-academic-work	L7-0133	b79-m1-cause-effect		id+simp
L7-0134	备受	b79-m1-cause-effect	b7-general-formal	L7-0134	b79-m1-cause-effect		id+simp
L7-0135	备用	b79-m1-cause-effect	b7-general-formal	L7-0135	b79-m1-cause-effect		id+simp
L7-0136	背面	b79-m1-cause-effect	b7-general-formal	L7-0136	b79-m1-cause-effect		id+simp
L7-0137	背叛	b79-m1-cause-effect	b7-social-nuance	L7-0137	b79-m1-cause-effect		id+simp
L7-0138	背诵	b79-m1-cause-effect	b7-academic-work	L7-0138	b79-m1-cause-effect		id+simp
L7-0139	被捕	b79-m1-cause-effect	b7-politics-legal	L7-0139	b79-m1-cause-effect		id+simp
L7-0140	奔波	b79-m1-cause-effect	b7-social-work	L7-0140	b79-m1-cause-effect		id+simp
L7-0141	奔赴	b79-m1-cause-effect	b7-general-formal	L7-0141	b79-m1-cause-effect		id+simp
L7-0142	本分	b79-m1-cause-effect	b7-social-virtues	L7-0142	b79-m1-cause-effect		id+simp
L7-0143	本能	b79-m1-cause-effect	b7-tech-science	L7-0143	b79-m1-cause-effect		id+simp
L7-0144	本钱	b79-m1-cause-effect	b7-finance-business	L7-0144	b79-m1-cause-effect		id+simp
L7-0145	本色	b79-m1-cause-effect	b7-social-virtues	L7-0145	b79-m1-cause-effect		id+simp
L7-0146	本性	b79-m1-cause-effect	b7-social-virtues	L7-0146	b79-m1-cause-effect		id+simp
L7-0147	本意	b79-m1-cause-effect	b7-academic-logic	L7-0147	b79-m1-cause-effect		id+simp
L7-0148	本着	b79-m1-cause-effect	b7-academic-logic	L7-0148	b79-m1-cause-effect		id+simp
L7-0149	奔	b79-m1-cause-effect	b7-general-formal	L7-0149	b79-m1-cause-effect		id+simp
L7-0150	笨蛋	b79-m1-cause-effect	b7-social-nuance	L7-0150	b79-m1-cause-effect		id+simp
L7-0151	笨重	b79-m1-cause-effect					unmapped
L7-0152	崩溃	b79-m1-cause-effect	b7-social-emotions	L7-0155	b79-m1-cause-effect		simp
L7-0153	绷	b79-m1-cause-effect					unmapped
L7-0154	绷带	b79-m1-cause-effect					unmapped
L7-0155	蹦	b79-m1-cause-effect					unmapped
L7-0156	逼近	b79-m1-cause-effect					unmapped
L7-0157	逼迫	b79-m1-cause-effect	b7-social-nuance	L7-0157	b79-m1-cause-effect		id+simp
L7-0158	逼真	b79-m1-cause-effect					unmapped
L7-0159	鼻涕	b79-m1-cause-effect					unmapped
L7-0160	比比皆是	b79-m1-cause-effect					unmapped
L7-0161	比不上	b79-m1-cause-effect					unmapped
L7-0162	比起	b79-m1-cause-effect					unmapped
L7-0163	比试	b79-m1-cause-effect					unmapped
L7-0164	比喻	b79-m1-cause-effect					unmapped
L7-0165	鄙视	b79-m1-cause-effect					unmapped
L7-0166	必不可少	b79-m1-cause-effect					unmapped
L7-0167	必定	b79-m1-cause-effect					unmapped
L7-0168	碧绿	b79-m1-cause-effect					unmapped
L7-0169	弊病	b79-m1-cause-effect					unmapped
L7-0170	弊端	b79-m1-cause-effect					unmapped
L7-0171	壁画	b79-m1-cause-effect	b7-culture-arts	L7-0172	b79-m1-cause-effect		simp
L7-0172	避难	b79-m1-cause-effect					unmapped
L7-0173	避暑	b79-m1-cause-effect	b7-nature-lifestyle	L7-0170	b79-m1-cause-effect		simp
L7-0174	边疆	b79-m1-cause-effect					unmapped
L7-0175	边界	b79-m1-cause-effect					unmapped
L7-0176	边远	b79-m1-cause-effect					unmapped
L7-0177	编号	b79-m1-cause-effect	b7-general-formal	L7-0178	b79-m1-cause-effect		simp
L7-0178	编剧	b79-m1-cause-effect					unmapped
L7-0179	编排	b79-m1-cause-effect	b7-academic-work	L7-0180	b79-m1-cause-effect		simp
L7-0180	编写	b79-m1-cause-effect	b7-academic-work	L7-0181	b79-m1-cause-effect		simp
L7-0181	编造	b79-m1-cause-effect					unmapped
L7-0182	鞭策	b79-m1-cause-effect	b7-social-virtues	L7-0185	b79-m1-cause-effect		simp
L7-0183	鞭炮	b79-m1-cause-effect	b7-culture-holidays	L7-0186	b79-m1-cause-effect		simp
L7-0184	贬值	b79-m1-cause-effect	b7-finance-business	L7-0188	b79-m1-cause-effect		simp
L7-0185	变革	b79-m1-cause-effect					unmapped
L7-0186	变幻莫测	b79-m1-cause-effect					unmapped
L7-0187	变迁	b79-m1-cause-effect	b7-politics-society	L7-0196	b79-m1-cause-effect		simp
L7-0188	变异	b79-m1-cause-effect					unmapped
L7-0189	变质	b79-m1-cause-effect	b7-health-medical	L7-0198	b79-m1-cause-effect		simp
L7-0190	便道	b79-m1-cause-effect	b7-nature-infrastructure	L7-0190	b79-m1-cause-effect		id+simp
L7-0191	便饭	b79-m1-cause-effect					unmapped
L7-0192	便捷	b79-m1-cause-effect	b7-tech-science	L7-0192	b79-m1-cause-effect		id+simp
L7-0193	便利店	b79-m1-cause-effect					unmapped
L7-0194	遍布	b79-m1-cause-effect					unmapped
L7-0195	辨别	b79-m1-cause-effect					unmapped
L7-0196	辨认	b79-m1-cause-effect	b7-general-formal	L7-0201	b79-m1-cause-effect		simp
L7-0197	辩	b79-m1-cause-effect					unmapped
L7-0198	辩护	b79-m1-cause-effect	b7-politics-legal	L7-0204	b79-m1-cause-effect		simp
L7-0199	辩解	b79-m1-cause-effect	b7-social-nuance	L7-0199	b79-m1-cause-effect		id+simp
L7-0200	辫子	b79-m1-cause-effect					unmapped
L7-0201	标	b79-m1-cause-effect					unmapped
L7-0202	标榜	b79-m1-cause-effect					unmapped
L7-0203	标本	b79-m1-cause-effect	b7-tech-science	L7-0206	b79-m1-cause-effect		simp
L7-0204	标签	b79-m1-cause-effect	b7-finance-business	L7-0210	b79-m1-cause-effect		simp
L7-0205	标示	b79-m1-cause-effect					unmapped
L7-0206	标语	b79-m1-cause-effect					unmapped
L7-0207	标致	b79-m1-cause-effect					unmapped
L7-0208	飙升	b79-m1-cause-effect					unmapped
L7-0209	表白	b79-m1-cause-effect	b7-social-emotions	L7-0213	b79-m1-cause-effect		simp
L7-0210	表决	b79-m1-cause-effect	b7-politics-diplomacy	L7-0214	b79-m1-cause-effect		simp
L7-0211	表述	b79-m1-cause-effect					unmapped
L7-0212	表率	b79-m1-cause-effect					unmapped
L7-0213	表态	b79-m1-cause-effect	b7-social-nuance	L7-0215	b79-m1-cause-effect		simp
L7-0214	表彰	b79-m1-cause-effect	b7-politics-diplomacy	L7-0216	b79-m1-cause-effect	polite	simp
L7-0215	憋	b79-m1-cause-effect	b7-social-emotions	L7-0217	b79-m1-cause-effect		simp
L7-0216	别具匠心	b79-m1-cause-effect					unmapped
L7-0217	别看	b79-m1-cause-effect					unmapped
L7-0218	别墅	b79-m1-comparison-evaluation	b7-finance-business	L7-0218	b79-m1-comparison-evaluation		id+simp
L7-0219	别说	b79-m1-comparison-evaluation	b7-academic-logic	L7-0219	b79-m1-comparison-evaluation		id+simp
L7-0220	别提了	b79-m1-comparison-evaluation	b7-social-interjections	L7-0220	b79-m1-comparison-evaluation		id+simp
L7-0221	别致	b79-m1-comparison-evaluation	b7-culture-arts	L7-0221	b79-m1-comparison-evaluation		id+simp
L7-0222	别扭	b79-m1-comparison-evaluation	b7-social-emotions	L7-0222	b79-m1-comparison-evaluation		id+simp
L7-0223	彬彬有礼	b79-m1-comparison-evaluation					unmapped
L7-0224	滨海	b79-m1-comparison-evaluation					unmapped
L7-0225	缤纷	b79-m1-comparison-evaluation					unmapped
L7-0226	冰棍儿	b79-m1-comparison-evaluation					unmapped
L7-0227	冰山	b79-m1-comparison-evaluation	b7-nature-geography	L7-0225	b79-m1-comparison-evaluation		simp
L7-0228	丙	b79-m1-comparison-evaluation					unmapped
L7-0229	秉承	b79-m1-comparison-evaluation					unmapped
L7-0230	并非	b79-m1-comparison-evaluation	b7-academic-logic	L7-0230	b79-m1-comparison-evaluation		id+simp
L7-0231	并购	b79-m1-comparison-evaluation					unmapped
L7-0232	并列	b79-m1-comparison-evaluation	b7-academic-logic	L7-0231	b79-m1-comparison-evaluation		simp
L7-0233	并行	b79-m1-comparison-evaluation	b7-tech-science	L7-0233	b79-m1-comparison-evaluation		id+simp
L7-0234	病床	b79-m1-comparison-evaluation					unmapped
L7-0235	病症	b79-m1-comparison-evaluation					unmapped
L7-0236	拨	b79-m1-comparison-evaluation					unmapped
L7-0237	拨款	b79-m1-comparison-evaluation					unmapped
L7-0238	拨通	b79-m1-comparison-evaluation					unmapped
L7-0239	波及	b79-m1-comparison-evaluation					unmapped
L7-0240	波澜	b79-m1-comparison-evaluation					unmapped
L7-0241	波涛	b79-m1-comparison-evaluation					unmapped
L7-0242	波折	b79-m1-comparison-evaluation					unmapped
L7-0243	剥夺	b79-m1-comparison-evaluation					unmapped
L7-0244	剥削	b79-m1-comparison-evaluation					unmapped
L7-0245	伯伯	b79-m1-comparison-evaluation					unmapped
L7-0246	伯父	b79-m1-comparison-evaluation					unmapped
L7-0247	伯母	b79-m1-comparison-evaluation					unmapped
L7-0248	驳回	b79-m1-comparison-evaluation	b7-politics-legal	L7-0241	b79-m1-comparison-evaluation		simp
L7-0249	脖子	b79-m1-comparison-evaluation					unmapped
L7-0250	搏斗	b79-m1-comparison-evaluation					unmapped
L7-0251	不定	b79-m1-comparison-evaluation					unmapped
L7-0252	不见得	b79-m1-comparison-evaluation					unmapped
L7-0253	不利于	b79-m1-comparison-evaluation					unmapped
L7-0254	不慎	b79-m1-comparison-evaluation	b7-general-formal	L7-0265	b79-m1-comparison-evaluation		simp
L7-0255	不适	b79-m1-comparison-evaluation					unmapped
L7-0256	不算	b79-m1-comparison-evaluation					unmapped
L7-0257	不像话	b79-m1-comparison-evaluation					unmapped
L7-0258	不屑	b79-m1-comparison-evaluation					unmapped
L7-0259	不懈	b79-m1-comparison-evaluation					unmapped
L7-0260	不亚于	b79-m1-comparison-evaluation					unmapped
L7-0261	不亦乐乎	b79-m1-comparison-evaluation					unmapped
L7-0262	不翼而飞	b79-m1-comparison-evaluation					unmapped
L7-0263	不用说	b79-m1-comparison-evaluation					unmapped
L7-0264	不正之风	b79-m1-comparison-evaluation					unmapped
L7-0265	补给	b79-m1-comparison-evaluation					unmapped
L7-0266	补救	b79-m1-comparison-evaluation	b7-general-formal	L7-0247	b79-m1-comparison-evaluation		simp
L7-0267	捕捉	b79-m1-comparison-evaluation					unmapped
L7-0268	哺育	b79-m1-comparison-evaluation					unmapped
L7-0269	不耻下问	b79-m1-comparison-evaluation					unmapped
L7-0270	不辞而别	b79-m1-comparison-evaluation					unmapped
L7-0271	不得而知	b79-m1-comparison-evaluation					unmapped
L7-0272	不得已	b79-m1-comparison-evaluation					unmapped
L7-0273	不妨	b79-m1-comparison-evaluation	b7-social-nuance	L7-0252	b79-m1-comparison-evaluation	polite	simp
L7-0274	不服	b79-m1-comparison-evaluation					unmapped
L7-0275	不服气	b79-m1-comparison-evaluation					unmapped
L7-0276	不假思索	b79-m1-comparison-evaluation					unmapped
L7-0277	不解	b79-m1-comparison-evaluation					unmapped
L7-0278	不经意	b79-m1-comparison-evaluation					unmapped
L7-0279	不景气	b79-m1-comparison-evaluation					unmapped
L7-0280	不堪	b79-m1-comparison-evaluation	b7-general-formal	L7-0258	b79-m1-comparison-evaluation		simp
L7-0281	不可避免	b79-m1-comparison-evaluation					unmapped
L7-0282	不可思议	b79-m1-comparison-evaluation	b7-idioms-formal	L7-0261	b79-m1-comparison-evaluation		simp
L7-0283	不肯	b79-m1-comparison-evaluation					unmapped
L7-0284	不理	b79-m1-comparison-evaluation					unmapped
L7-0285	不了了之	b79-m1-comparison-evaluation					unmapped
L7-0286	不难	b79-m1-comparison-evaluation					unmapped
L7-0287	不平	b79-m1-comparison-evaluation					unmapped
L7-0288	不起眼	b79-m1-comparison-evaluation					unmapped
L7-0289	不容	b79-m1-comparison-evaluation					unmapped
L7-0290	不如说	b79-m1-comparison-evaluation					unmapped
L7-0291	不同寻常	b79-m1-comparison-evaluation					unmapped
L7-0292	不为人知	b79-m1-comparison-evaluation					unmapped
L7-0293	不惜	b79-m1-comparison-evaluation					unmapped
L7-0294	不相上下	b79-m1-comparison-evaluation					unmapped
L7-0295	不宜	b79-m1-comparison-evaluation					unmapped
L7-0296	不已	b79-m1-comparison-evaluation					unmapped
L7-0297	不以为然	b79-m1-comparison-evaluation					unmapped
L7-0298	不由得	b79-m1-comparison-evaluation	b7-social-emotions	L7-0267	b79-m1-comparison-evaluation		simp
L7-0299	不由自主	b79-m1-comparison-evaluation	b7-idioms-behavior	L7-0268	b79-m1-comparison-evaluation		simp
L7-0300	不予	b79-m1-comparison-evaluation					unmapped
L7-0301	不约而同	b79-m1-comparison-evaluation					unmapped
L7-0302	不知	b79-m1-comparison-evaluation					unmapped
L7-0303	不知不觉	b79-m1-comparison-evaluation					unmapped
L7-0304	不准	b79-m1-comparison-evaluation					unmapped
L7-0305	布局	b79-m1-comparison-evaluation	b7-tech-science	L7-0274	b79-m1-comparison-evaluation		simp
L7-0306	步伐	b79-m1-comparison-evaluation	b7-politics-society	L7-0276	b79-m1-comparison-evaluation		simp
L7-0307	步入	b79-m1-comparison-evaluation					unmapped
L7-0308	步骤	b79-m1-comparison-evaluation					unmapped
L7-0309	部件	b79-m1-comparison-evaluation					unmapped
L7-0310	部署	b79-m1-comparison-evaluation	b7-politics-military	L7-0277	b79-m1-comparison-evaluation		simp
L7-0311	猜谜	b79-m1-comparison-evaluation					unmapped
