manifest_missing_id	manifest_simp	manifest_new_unit	extra_band_id	extra_band_simp	extra_band_current_unit
L7-1315	会见	b7-politics-diplomacy	L7-1933	加深	b79-m3-tech-innovation
L7-1323	汇编	b7-academic-work	L7-1934	加重	b79-m3-tech-innovation
L7-1325	汇款	b7-finance-business	L7-1936	家伙	b79-m3-tech-innovation
L7-1334	婚礼	b7-social-culture	L7-1938	家教	b79-m3-tech-innovation
L7-1338	混浊	b7-nature-geography	L7-1943	家政	b79-m3-tech-innovation
L7-1339	混乱	b7-academic-logic	L7-1946	假定	b79-m3-tech-innovation
L7-1340	混淆	b7-academic-logic	L7-1947	假冒	b79-m3-tech-innovation
L7-1341	活动	b7-general-formal	L7-1951	价位	b79-m3-tech-innovation
L7-1347	火药	b7-tech-science	L7-1954	驾车	b79-m4-meetings-discussion
L7-1362	级别	b7-politics-society	L7-1958	嫁	b79-m4-meetings-discussion
L7-1379	季节	b7-nature-geography	L7-1959	嫁妆	b79-m4-meetings-discussion
L7-1384	纪要	b7-politics-diplomacy	L7-1960	尖端	b79-m4-meetings-discussion
L7-1397	加薪	b7-finance-business	L7-1970	肩膀	b79-m4-meetings-discussion
L7-1398	佳节	b7-culture-holidays	L7-1971	肩负	b79-m4-meetings-discussion
L7-1402	家教	b7-academic-work	L7-1978	监护	b79-m4-meetings-discussion
L7-1404	家具	b7-general-formal	L7-1982	兼	b79-m4-meetings-discussion
L7-1405	家里	b7-general-formal	L7-1983	兼顾	b79-m4-meetings-discussion
L7-1406	家谱	b7-culture-heritage	L7-1984	兼任	b79-m4-meetings-discussion
L7-1411	嘉奖	b7-politics-society	L7-1985	兼容	b79-m4-meetings-discussion
L7-1418	假期	b7-general-formal	L7-1987	煎	b79-m4-meetings-discussion
L7-1419	坚定	b7-social-virtues	L7-1988	拣	b79-m4-meetings-discussion
L7-1422	坚决	b7-academic-logic	L7-1991	减免	b79-m4-meetings-discussion
L7-1423	坚强	b7-social-virtues	L7-1992	减弱	b79-m4-meetings-discussion
L7-1424	坚韧	b7-social-virtues	L7-1993	减速	b79-m4-meetings-discussion
L7-1429	兼容	b7-tech-science	L7-1995	简称	b79-m4-meetings-discussion
L7-1437	歼灭	b7-politics-military	L7-1996	简短	b79-m4-meetings-discussion
L7-1453	减少	b7-academic-logic	L7-1997	简化	b79-m4-meetings-discussion
L7-1456	见面	b7-social-nuance	L7-2003	见解	b79-m4-meetings-discussion
L7-1458	见证	b7-academic-logic	L7-2007	见外	b79-m4-meetings-discussion
L7-1462	间隙	b7-tech-science	L7-2008	见效	b79-m4-meetings-discussion
L7-1464	建地	b7-finance-business	L7-2012	间断	b79-m4-meetings-discussion
L7-1470	健身房	b7-health-lifestyle	L7-2013	间隔	b79-m4-meetings-discussion
L7-1471	健全	b7-politics-society	L7-2015	建交	b79-m4-meetings-discussion
L7-1473	鉴别	b7-academic-logic	L7-2019	贱	b79-m4-meetings-discussion
L7-1476	贱	b7-finance-business	L7-2022	溅	b79-m4-meetings-discussion
L7-1479	将就	b7-social-nuance	L7-2023	鉴别	b79-m4-meetings-discussion
L7-1482	奖励	b7-social-work	L7-2026	姜	b79-m4-meetings-discussion
L7-1483	奖状	b7-academic-work	L7-2027	僵	b79-m4-meetings-discussion
L7-1489	降温	b7-nature-geography	L7-2028	僵化	b79-m4-meetings-discussion
L7-1492	交付	b7-finance-business	L7-2029	僵局	b79-m4-meetings-discussion
L7-1498	交通工具	b7-tech-transport	L7-2030	讲解	b79-m4-meetings-discussion
L7-1501	娇气	b7-social-behavior	L7-2031	讲述	b79-m4-meetings-discussion
L7-1502	骄傲	b7-social-emotions	L7-2032	讲学	b79-m4-meetings-discussion
L7-1504	焦急	b7-social-emotions	L7-2033	奖杯	b79-m4-meetings-discussion
L7-1505	焦虑	b7-social-emotions	L7-2034	奖牌	b79-m4-meetings-discussion
L7-1508	胶水	b7-general-formal	L7-2035	奖品	b79-m4-meetings-discussion
L7-1519	叫唤	b7-social-nuance	L7-2037	降临	b79-m4-meetings-discussion
L7-1520	较量	b7-politics-military	L7-2038	交叉	b79-m4-meetings-discussion
L7-1522	阶段	b7-academic-logic	L7-2040	交付	b79-m4-meetings-discussion
L7-1523	结伴	b7-social-nuance	L7-2041	交集	b79-m4-meetings-discussion
L7-1535	截止	b7-academic-logic	L7-2042	交接	b79-m4-meetings-discussion
L7-1537	杰出	b7-social-virtues	L7-2043	交界	b79-m4-meetings-discussion
L7-1538	杰作	b7-culture-arts	L7-2044	交纳	b79-m4-meetings-discussion
L7-1539	截断	b7-academic-logic	L7-2047	交谈	b79-m4-meetings-discussion
L7-1540	截止日期	b7-finance-business	L7-2048	交替	b79-m4-meetings-discussion
L7-1541	捷报	b7-politics-military	L7-2053	浇	b79-m4-meetings-discussion
L7-1549	解放	b7-politics-society	L7-2059	焦急	b79-m4-meetings-discussion
L7-1555	解说	b7-culture-media	L7-2060	焦距	b79-m4-meetings-discussion
L7-1557	解脱	b7-social-emotions	L7-2064	嚼	b79-m4-meetings-discussion
L7-1558	金额	b7-finance-business	L7-2065	角落	b79-m4-meetings-discussion
L7-1562	津贴	b7-finance-business	L7-2069	搅	b79-m4-meetings-discussion
L7-1563	紧逼	b7-politics-military	L7-2070	搅拌	b79-m4-meetings-discussion
L7-1565	紧急	b7-general-formal	L7-2071	缴	b79-m4-meetings-discussion
L7-1566	紧密	b7-academic-logic	L7-2072	缴费	b79-m4-meetings-discussion
L7-1568	紧缺	b7-finance-business	L7-2073	缴纳	b79-m4-meetings-discussion
L7-1569	谨慎	b7-social-behavior	L7-2074	叫板	b79-m4-meetings-discussion
L7-1573	晋级	b7-culture-sports	L7-2075	叫好	b79-m4-meetings-discussion
L7-1579	精通	b7-social-work	L7-2076	轿车	b79-m4-meetings-discussion
L7-1580	精细	b7-tech-science	L7-2078	较量	b79-m4-meetings-discussion
L7-1582	景气	b7-finance-business	L7-2085	皆	b79-m4-meetings-discussion
L7-1584	敬而远之	b7-idioms-behavior	L7-2088	接班	b79-m4-meetings-discussion
L7-1585	敬礼	b7-politics-military	L7-2089	接班人	b79-m4-meetings-discussion
L7-1586	敬佩	b7-social-emotions	L7-2092	接济	b79-m4-meetings-discussion
L7-1588	境界	b7-academic-logic	L7-2093	接见	b79-m4-meetings-discussion
L7-1600	剧烈	b7-academic-logic	L7-2094	接力	b79-m4-meetings-discussion
L7-1601	剧目	b7-culture-arts	L7-2095	接纳	b79-m4-meetings-discussion
L7-1605	具备	b7-academic-logic	L7-2096	接手	b79-m4-meetings-discussion
L7-1606	具体	b7-academic-logic	L7-2097	接送	b79-m4-meetings-discussion
L7-1607	具有	b7-academic-logic	L7-2099	接听	b79-m4-meetings-discussion
L7-1612	俱乐部	b7-social-culture	L7-2101	揭发	b79-m4-meetings-discussion
L7-1615	决策	b7-finance-business	L7-2102	揭露	b79-m4-meetings-discussion
L7-1619	军队	b7-politics-military	L7-2106	节气	b79-m4-meetings-discussion
L7-1620	军港	b7-politics-military	L7-2107	节水	b79-m4-meetings-discussion
L7-1621	军火	b7-politics-military	L7-2109	劫	b79-m4-meetings-discussion
L7-1624	军种	b7-politics-military	L7-2110	劫持	b79-m4-meetings-discussion
L7-1628	抗议	b7-politics-society	L7-2112	结冰	b79-m4-meetings-discussion
L7-1630	考察	b7-tech-science	L7-2114	结局	b79-m4-meetings-discussion
L7-1636	可观	b7-finance-business	L7-2115	结识	b79-m4-meetings-discussion
L7-1638	可怜	b7-social-emotions	L7-2121	解答	b79-m4-meetings-discussion
L7-1640	可喜	b7-social-emotions	L7-2122	解读	b79-m4-meetings-discussion
L7-1641	渴望	b7-social-emotions	L7-2123	解雇	b79-m4-meetings-discussion
L7-1645	肯定	b7-academic-logic	L7-2124	解救	b79-m4-meetings-discussion
L7-1646	空白	b7-academic-logic	L7-2126	解散	b79-m4-meetings-discussion
L7-1648	空军	b7-politics-military	L7-2138	界定	b79-m4-meetings-discussion
L7-1651	恐怖	b7-politics-society	L7-2141	借口	b79-m4-meetings-discussion
L7-1652	恐吓	b7-politics-legal	L7-2152	仅次于	b79-m4-meetings-discussion
L7-1653	恐惧	b7-social-emotions	L7-2155	紧凑	b79-m4-meetings-discussion
L7-1657	口才	b7-social-virtues	L7-2162	尽情	b79-m4-meetings-discussion
L7-1658	口袋	b7-general-formal	L7-2164	进场	b79-m4-meetings-discussion
L7-1660	口径	b7-tech-science	L7-2166	进出	b79-m4-meetings-discussion
L7-1661	口气	b7-social-behavior	L7-2167	进出口	b79-m4-meetings-discussion
L7-1664	口述	b7-academic-work	L7-2168	进度	b79-m4-meetings-discussion
L7-1665	口头	b7-academic-logic	L7-2169	进而	b79-m4-meetings-discussion
L7-1667	口罩	b7-health-medical	L7-2171	近年来	b79-m4-negotiation
L7-1668	扣	b7-finance-business	L7-2177	茎	b79-m4-negotiation
L7-1669	枯燥	b7-academic-work	L7-2179	经度	b79-m4-negotiation
L7-1670	苦恼	b7-social-emotions	L7-2185	惊	b79-m4-negotiation
L7-1671	库	b7-tech-science	L7-2187	惊慌	b79-m4-negotiation
L7-1672	裤子	b7-general-formal	L7-2201	精练	b79-m4-negotiation
L7-1673	夸奖	b7-social-nuance	L7-2202	精妙	b79-m4-negotiation
L7-1676	跨越	b7-general-formal	L7-2214	颈部	b79-m4-negotiation
L7-1678	宽带	b7-tech-science	L7-2217	警车	b79-m4-negotiation
L7-1679	宽广	b7-nature-geography	L7-2221	净化	b79-m4-negotiation
L7-1683	筐	b7-general-formal	L7-2225	竟	b79-m4-negotiation
L7-1685	旷工	b7-social-work	L7-2226	竟敢	b79-m4-negotiation
L7-1686	矿产	b7-nature-geography	L7-2227	敬	b79-m4-negotiation
L7-1688	况且	b7-academic-logic	L7-2228	敬爱	b79-m4-negotiation
L7-1691	魁梧	b7-social-behavior	L7-2230	敬酒	b79-m4-negotiation
L7-1692	馈赠	b7-social-culture	L7-2231	敬礼	b79-m4-negotiation
L7-1693	扩散	b7-tech-science	L7-2233	敬请	b79-m4-negotiation
L7-1695	捆	b7-general-formal	L7-2236	敬重	b79-m4-negotiation
L7-1696	困惑	b7-social-emotions	L7-2238	境地	b79-m4-negotiation
L7-1697	困境	b7-social-nuance	L7-2244	纠缠	b79-m4-negotiation
L7-1698	扩充	b7-academic-logic	L7-2245	揪	b79-m4-negotiation
L7-1699	扩张	b7-politics-society	L7-2248	酒精	b79-m4-negotiation
L7-1700	垃圾桶	b7-general-formal	L7-2249	酒楼	b79-m4-negotiation
L7-1701	拉拢	b7-politics-society	L7-2250	救护车	b79-m4-negotiation
L7-1702	喇叭	b7-tech-science	L7-2253	就餐	b79-m4-negotiation
L7-1704	蜡烛	b7-general-formal	L7-2254	就地	b79-m4-negotiation
L7-1705	辣	b7-culture-food	L7-2255	就读	b79-m4-negotiation
L7-1707	来历	b7-academic-logic	L7-2256	就近	b79-m4-negotiation
L7-1708	来临	b7-general-formal	L7-2268	局部	b79-m4-negotiation
L7-1709	来源	b7-academic-logic	L7-2274	举报	b79-m4-negotiation
L7-1714	滥用	b7-politics-society	L7-2282	举重	b79-m4-negotiation
L7-1715	篮	b7-culture-sports	L7-2294	据此	b79-m4-negotiation
L7-1716	篮球	b7-culture-sports	L7-2296	距	b79-m4-negotiation
L7-1717	狼	b7-nature-fauna	L7-2297	锯	b79-m4-negotiation
L7-1718	朗读	b7-academic-work	L7-2298	聚集	b79-m4-negotiation
L7-1720	浪费	b7-finance-business	L7-2305	诀别	b79-m4-negotiation
L7-1722	劳动力	b7-finance-business	L7-2324	卡车	b79-m4-negotiation
L7-1723	劳改	b7-politics-legal	L7-2327	开办	b79-m4-negotiation
L7-1726	牢固	b7-tech-science	L7-2328	开采	b79-m4-negotiation
L7-1728	牢骚	b7-social-nuance	L7-2329	开场	b79-m4-negotiation
L7-1729	姥姥	b7-social-nuance	L7-2330	开场白	b79-m4-negotiation
L7-1733	乐意	b7-social-emotions	L7-2331	开除	b79-m4-negotiation
L7-1734	雷	b7-nature-geography	L7-2332	开动	b79-m4-negotiation
L7-1735	雷达	b7-tech-science	L7-2337	开口	b79-m4-negotiation
L7-1737	泪	b7-social-emotions	L7-2350	刊登	b79-m4-negotiation
L7-1738	冷冰冰	b7-social-behavior	L7-2354	堪称	b79-m4-negotiation
L7-1742	离别	b7-social-emotions	L7-2357	看得出	b79-m4-negotiation
L7-1743	离婚	b7-social-culture	L7-2370	考量	b79-m4-negotiation
L7-1744	离休	b7-social-work	L7-2371	烤	b79-m4-negotiation
L7-1746	梨	b7-nature-flora	L7-2377	磕	b79-m4-negotiation
L7-1747	黎明	b7-nature-geography	L7-2386	可贵	b79-m4-negotiation
L7-1749	礼仪	b7-social-culture	L7-2387	可口	b79-m4-negotiation
L7-1754	理解	b7-social-nuance	L7-2389	可恶	b79-m4-formal-writing
L7-1759	立场	b7-politics-society	L7-2393	可行	b79-m4-formal-writing
L7-1764	立项	b7-finance-business	L7-2397	刻苦	b79-m4-formal-writing
L7-1770	连续	b7-academic-logic	L7-2417	空白	b79-m4-formal-writing
L7-1777	联系	b7-academic-logic	L7-2418	空地	b79-m4-formal-writing
L7-1778	廉洁	b7-politics-society	L7-2422	口碑	b79-m4-formal-writing
L7-1780	怜悯	b7-social-emotions	L7-2423	口才	b79-m4-formal-writing
L7-1783	恋爱	b7-social-culture	L7-2424	口吃	b79-m4-formal-writing
L7-1790	聊天	b7-social-culture	L7-2425	口感	b79-m4-formal-writing
L7-1809	领地	b7-politics-geography	L7-2438	扣除	b79-m4-formal-writing
L7-1811	领海	b7-politics-geography	L7-2454	夸大	b79-m4-formal-writing
L7-1812	领会	b7-academic-logic	L7-2455	夸奖	b79-m4-formal-writing
L7-1813	领空	b7-politics-geography	L7-2459	垮	b79-m4-formal-writing
L7-1814	领事馆	b7-politics-diplomacy	L7-2460	挎	b79-m4-formal-writing
L7-1815	领土	b7-politics-geography	L7-2461	跨国	b79-m4-formal-writing
L7-1816	领悟	b7-academic-logic	L7-2478	矿藏	b79-m4-formal-writing
L7-1818	领袖	b7-politics-society	L7-2481	亏本	b79-m4-formal-writing
L7-1819	领养	b7-social-culture	L7-2487	扩	b79-m4-formal-writing
L7-1820	溜	b7-general-formal	L7-2488	扩建	b79-m4-formal-writing
L7-1828	流失	b7-finance-business	L7-2493	拉动	b79-m4-formal-writing
L7-1831	浏览	b7-tech-science	L7-2513	栏杆	b79-m4-formal-writing
L7-1832	流量	b7-tech-science	L7-2516	缆车	b79-m4-formal-writing
L7-1838	路程	b7-tech-transport	L7-2517	懒得	b79-m4-formal-writing
L7-1839	路灯	b7-tech-infrastructure	L7-2529	牢记	b79-m4-formal-writing
L7-1841	录制	b7-tech-science	L7-2530	牢牢	b79-m4-formal-writing
L7-1842	鹿	b7-nature-fauna	L7-2535	老化	b79-m4-formal-writing
L7-1845	露天	b7-general-formal	L7-2547	累积	b79-m4-formal-writing
L7-1847	驴	b7-nature-fauna	L7-2549	类别	b79-m4-formal-writing
L7-1849	履行	b7-politics-legal	L7-2551	冷淡	b79-m4-formal-writing
L7-1853	率领	b7-politics-military	L7-2552	冷冻	b79-m4-formal-writing
L7-1854	绿化	b7-nature-geography	L7-2565	礼服	b79-m4-formal-writing
L7-1855	略	b7-academic-logic	L7-2587	立方	b79-m4-formal-writing
L7-1856	略微	b7-academic-logic	L7-2589	立功	b79-m4-formal-writing
L7-1862	轮胎	b7-tech-transport	L7-2623	亮点	b79-m5-idiomatic-social
L7-1863	论点	b7-academic-logic	L7-2634	料到	b79-m5-idiomatic-social
L7-1864	论据	b7-academic-logic	L7-2648	临床	b79-m5-idiomatic-social
L7-1865	论述	b7-academic-logic	L7-2649	临街	b79-m5-idiomatic-social
L7-1870	萝卜	b7-nature-flora	L7-2650	临近	b79-m5-idiomatic-social
L7-1871	螺丝	b7-tech-science	L7-2730	屡次	b79-m5-idiomatic-social
L7-1872	螺旋	b7-tech-science	L7-2735	绿地	b79-m5-idiomatic-social
L7-1876	落在	b7-general-formal	L7-2744	轮换	b79-m5-idiomatic-social
L7-1877	落后	b7-academic-logic	L7-2803	冒犯	b79-m5-idiomatic-social
L7-1878	落后于	b7-academic-logic	L7-5499	传	b79-speaking
