id	simp	current_unit	manifest_old_unit	manifest_new_unit	tag	resolution	old_unit_matches_current
L7-0074	半数	b79-m1-cause-effect	b79-m1-cause-effect	b7-academic-logic		id+simp	yes
L7-0075	半途而废	b79-m1-cause-effect	b79-m1-cause-effect	b7-idioms-formal		id+simp	yes
L7-0076	半信半疑	b79-m1-cause-effect	b79-m1-cause-effect	b7-idioms-formal		id+simp	yes
L7-0077	半真半假	b79-m1-cause-effect	b79-m1-cause-effect	b7-idioms-formal		id+simp	yes
L7-0078	扮	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-arts		id+simp	yes
L7-0079	伴	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		id+simp	yes
L7-0080	伴侣	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		id+simp	yes
L7-0081	伴随	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0082	伴奏	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-arts		id+simp	yes
L7-0083	拌	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0084	帮手	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-work		id+simp	yes
L7-0085	绑	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0086	绑架	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-crime		id+simp	yes
L7-0087	榜样	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-virtues		id+simp	yes
L7-0088	棒球	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-sports		id+simp	yes
L7-0089	磅	b79-m1-cause-effect	b79-m1-cause-effect	b7-academic-logic		id+simp	yes
L7-0090	包袱	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		id+simp	yes
L7-0091	包容	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-virtues	polite	id+simp	yes
L7-0092	包扎	b79-m1-cause-effect	b79-m1-cause-effect	b7-health-medical		id+simp	yes
L7-0093	剥	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0094	煲	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-food		id+simp	yes
L7-0095	饱和	b79-m1-cause-effect	b79-m1-cause-effect	b7-finance-business		id+simp	yes
L7-0096	饱满	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		id+simp	yes
L7-0097	宝库	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-heritage		id+simp	yes
L7-0098	宝藏	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-heritage		id+simp	yes
L7-0099	保管	b79-m1-cause-effect	b79-m1-cause-effect	b7-finance-business		id+simp	yes
L7-0100	保姆	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-work		id+simp	yes
L7-0101	保暖	b79-m1-cause-effect	b79-m1-cause-effect	b7-health-lifestyle		id+simp	yes
L7-0102	保鲜	b79-m1-cause-effect	b79-m1-cause-effect	b7-tech-science		id+simp	yes
L7-0103	保修	b79-m1-cause-effect	b79-m1-cause-effect	b7-finance-business		id+simp	yes
L7-0104	保佑	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-culture	polite	id+simp	yes
L7-0105	保障	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-diplomacy		id+simp	yes
L7-0106	保质期	b79-m1-cause-effect	b79-m1-cause-effect	b7-finance-business		id+simp	yes
L7-0107	保重	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-nuance	polite	id+simp	yes
L7-0108	堡垒	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-society		id+simp	yes
L7-0109	报	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0110	报仇	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-nuance		id+simp	yes
L7-0111	报酬	b79-m1-cause-effect	b79-m1-cause-effect	b7-finance-business		id+simp	yes
L7-0112	报废	b79-m1-cause-effect	b79-m1-cause-effect	b7-finance-business		id+simp	yes
L7-0113	报复	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-nuance		id+simp	yes
L7-0114	报社	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-media		id+simp	yes
L7-0115	报亭	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-media		id+simp	yes
L7-0116	报销	b79-m1-cause-effect	b79-m1-cause-effect	b7-finance-business		id+simp	yes
L7-0117	抱负	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		id+simp	yes
L7-0118	豹	b79-m1-cause-effect	b79-m1-cause-effect	b7-nature-fauna		id+simp	yes
L7-0119	暴风骤雨	b79-m1-cause-effect	b79-m1-cause-effect	b7-idioms-formal		id+simp	yes
L7-0120	暴利	b79-m1-cause-effect	b79-m1-cause-effect	b7-finance-business		id+simp	yes
L7-0121	暴躁	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		id+simp	yes
L7-0122	曝光	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-media		id+simp	yes
L7-0123	爆冷门	b79-m1-cause-effect	b79-m1-cause-effect	b7-idioms-formal		id+simp	yes
L7-0124	爆满	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-social		id+simp	yes
L7-0125	爆竹	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-holidays		id+simp	yes
L7-0126	卑鄙	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		id+simp	yes
L7-0127	悲哀	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		id+simp	yes
L7-0128	悲观	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		id+simp	yes
L7-0129	悲欢离合	b79-m1-cause-effect	b79-m1-cause-effect	b7-idioms-formal		id+simp	yes
L7-0130	悲痛	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		id+simp	yes
L7-0131	碑	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-heritage		id+simp	yes
L7-0132	贝壳	b79-m1-cause-effect	b79-m1-cause-effect	b7-nature-fauna		id+simp	yes
L7-0133	备课	b79-m1-cause-effect	b79-m1-cause-effect	b7-academic-work		id+simp	yes
L7-0134	备受	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0135	备用	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0136	背面	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0137	背叛	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-nuance		id+simp	yes
L7-0138	背诵	b79-m1-cause-effect	b79-m1-cause-effect	b7-academic-work		id+simp	yes
L7-0139	被捕	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-legal		id+simp	yes
L7-0140	奔波	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-work		id+simp	yes
L7-0141	奔赴	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0142	本分	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-virtues		id+simp	yes
L7-0143	本能	b79-m1-cause-effect	b79-m1-cause-effect	b7-tech-science		id+simp	yes
L7-0144	本钱	b79-m1-cause-effect	b79-m1-cause-effect	b7-finance-business		id+simp	yes
L7-0145	本色	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-virtues		id+simp	yes
L7-0146	本性	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-virtues		id+simp	yes
L7-0147	本意	b79-m1-cause-effect	b79-m1-cause-effect	b7-academic-logic		id+simp	yes
L7-0148	本着	b79-m1-cause-effect	b79-m1-cause-effect	b7-academic-logic		id+simp	yes
L7-0149	奔	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		id+simp	yes
L7-0150	笨蛋	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-nuance		id+simp	yes
L7-0151	本着	b79-m1-cause-effect	b79-m1-cause-effect	b7-academic-logic		simp_fallback	yes
L7-0152	本周		b79-m1-cause-effect	b7-general-formal		id_mismatch_no_simp	no
L7-0153	本尊		b79-m1-cause-effect	b7-social-culture		id_mismatch_no_simp	no
L7-0154	泵		b79-m1-cause-effect	b7-tech-science		id_mismatch_no_simp	no
L7-0155	崩溃	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		simp_fallback	yes
L7-0156	迸发		b79-m1-cause-effect	b7-general-formal		id_mismatch_no_simp	no
L7-0157	逼迫	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-nuance		id+simp	yes
L7-0158	鼻孔		b79-m1-cause-effect	b7-health-medical		id_mismatch_no_simp	no
L7-0159	鼻梁		b79-m1-cause-effect	b7-health-medical		id_mismatch_no_simp	no
L7-0160	鼻子		b79-m1-cause-effect	b7-health-medical		id_mismatch_no_simp	no
L7-0161	比重		b79-m1-cause-effect	b7-academic-logic		id_mismatch_no_simp	no
L7-0162	彼此		b79-m1-cause-effect	b7-social-nuance		id_mismatch_no_simp	no
L7-0163	笔记		b79-m1-cause-effect	b7-academic-work		id_mismatch_no_simp	no
L7-0164	毕恭毕敬		b79-m1-cause-effect	b7-idioms-behavior	polite	id_mismatch_no_simp	no
L7-0165	毕竟		b79-m1-cause-effect	b7-academic-logic		id_mismatch_no_simp	no
L7-0166	闭幕		b79-m1-cause-effect	b7-politics-diplomacy	polite	id_mismatch_no_simp	no
L7-0167	闭幕式		b79-m1-cause-effect	b7-politics-diplomacy	polite	id_mismatch_no_simp	no
L7-0168	避讳		b79-m1-cause-effect	b7-social-culture		id_mismatch_no_simp	no
L7-0169	避开		b79-m1-cause-effect	b7-general-formal		id_mismatch_no_simp	no
L7-0170	避暑	b79-m1-cause-effect	b79-m1-cause-effect	b7-nature-lifestyle		simp_fallback	yes
L7-0171	避孕		b79-m1-cause-effect	b7-health-medical		id_mismatch_no_simp	no
L7-0172	壁画	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-arts		simp_fallback	yes
L7-0173	臂章		b79-m1-cause-effect	b7-politics-society		id_mismatch_no_simp	no
L7-0174	边境		b79-m1-cause-effect	b7-politics-geography		id_mismatch_no_simp	no
L7-0175	边框		b79-m1-cause-effect	b7-tech-science		id_mismatch_no_simp	no
L7-0176	边缘		b79-m1-cause-effect	b7-general-formal		id_mismatch_no_simp	no
L7-0177	编导		b79-m1-cause-effect	b7-culture-media		id_mismatch_no_simp	no
L7-0178	编号	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		simp_fallback	yes
L7-0179	编辑		b79-m1-cause-effect	b7-culture-media		id_mismatch_no_simp	no
L7-0180	编排	b79-m1-cause-effect	b79-m1-cause-effect	b7-academic-work		simp_fallback	yes
L7-0181	编写	b79-m1-cause-effect	b79-m1-cause-effect	b7-academic-work		simp_fallback	yes
L7-0182	编织		b79-m1-cause-effect	b7-culture-arts		id_mismatch_no_simp	no
L7-0183	编制		b79-m1-cause-effect	b7-politics-society		id_mismatch_no_simp	no
L7-0184	蝙蝠		b79-m1-cause-effect	b7-nature-fauna		id_mismatch_no_simp	no
L7-0185	鞭策	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-virtues		simp_fallback	yes
L7-0186	鞭炮	b79-m1-cause-effect	b79-m1-cause-effect	b7-culture-holidays		simp_fallback	yes
L7-0187	贬低		b79-m1-cause-effect	b7-social-nuance		id_mismatch_no_simp	no
L7-0188	贬值	b79-m1-cause-effect	b79-m1-cause-effect	b7-finance-business		simp_fallback	yes
L7-0189	扁平		b79-m1-cause-effect	b7-tech-science		id_mismatch_no_simp	no
L7-0190	便道	b79-m1-cause-effect	b79-m1-cause-effect	b7-nature-infrastructure		id+simp	yes
L7-0191	便服		b79-m1-cause-effect	b7-social-culture		id_mismatch_no_simp	no
L7-0192	便捷	b79-m1-cause-effect	b79-m1-cause-effect	b7-tech-science		id+simp	yes
L7-0193	便条		b79-m1-cause-effect	b7-academic-work		id_mismatch_no_simp	no
L7-0194	便于		b79-m1-cause-effect	b7-academic-logic		id_mismatch_no_simp	no
L7-0195	变故		b79-m1-cause-effect	b7-social-nuance		id_mismatch_no_simp	no
L7-0196	变迁	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-society		simp_fallback	yes
L7-0197	变通		b79-m1-cause-effect	b7-general-formal		id_mismatch_no_simp	no
L7-0198	变质	b79-m1-cause-effect	b79-m1-cause-effect	b7-health-medical		simp_fallback	yes
L7-0199	辩解	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-nuance		id+simp	yes
L7-0200	辩证		b79-m1-cause-effect	b7-academic-logic		id_mismatch_no_simp	no
L7-0201	辨认	b79-m1-cause-effect	b79-m1-cause-effect	b7-general-formal		simp_fallback	yes
L7-0202	辨析		b79-m1-cause-effect	b7-academic-logic		id_mismatch_no_simp	no
L7-0203	辩词		b79-m1-cause-effect	b7-politics-legal		id_mismatch_no_simp	no
L7-0204	辩护	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-legal		simp_fallback	yes
L7-0205	辩论		b79-m1-cause-effect	b7-academic-logic		id_mismatch_no_simp	no
L7-0206	标本	b79-m1-cause-effect	b79-m1-cause-effect	b7-tech-science		simp_fallback	yes
L7-0207	标点		b79-m1-cause-effect	b7-academic-work		id_mismatch_no_simp	no
L7-0208	符号		b79-m1-cause-effect	b7-academic-work		id_mismatch_no_simp	no
L7-0209	标记		b79-m1-cause-effect	b7-general-formal		id_mismatch_no_simp	no
L7-0210	标签	b79-m1-cause-effect	b79-m1-cause-effect	b7-finance-business		simp_fallback	yes
L7-0211	标题		b79-m1-cause-effect	b7-academic-work		id_mismatch_no_simp	no
L7-0212	标志		b79-m1-cause-effect	b7-general-formal		id_mismatch_no_simp	no
L7-0213	表白	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		simp_fallback	yes
L7-0214	表决	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-diplomacy		simp_fallback	yes
L7-0215	表态	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-nuance		simp_fallback	yes
L7-0216	表彰	b79-m1-cause-effect	b79-m1-cause-effect	b7-politics-diplomacy	polite	simp_fallback	yes
L7-0217	憋	b79-m1-cause-effect	b79-m1-cause-effect	b7-social-emotions		simp_fallback	yes
L7-0218	别墅	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-finance-business		id+simp	yes
L7-0219	别说	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-academic-logic		id+simp	yes
L7-0220	别提了	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-social-interjections		id+simp	yes
L7-0221	别致	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-culture-arts		id+simp	yes
L7-0222	别扭	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-social-emotions		id+simp	yes
L7-0223	濒临		b79-m1-comparison-evaluation	b7-general-formal		id_mismatch_no_simp	no
L7-0224	冰雹		b79-m1-comparison-evaluation	b7-nature-geography		id_mismatch_no_simp	no
L7-0225	冰山	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-nature-geography		simp_fallback	yes
L7-0226	兵		b79-m1-comparison-evaluation	b7-politics-military		id_mismatch_no_simp	no
L7-0227	兵团		b79-m1-comparison-evaluation	b7-politics-military		id_mismatch_no_simp	no
L7-0228	兵役		b79-m1-comparison-evaluation	b7-politics-military		id_mismatch_no_simp	no
L7-0229	并存		b79-m1-comparison-evaluation	b7-academic-logic		id_mismatch_no_simp	no
L7-0230	并非	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-academic-logic		id+simp	yes
L7-0231	并列	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-academic-logic		simp_fallback	yes
L7-0232	并入		b79-m1-comparison-evaluation	b7-finance-business		id_mismatch_no_simp	no
L7-0233	并行	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-tech-science		id+simp	yes
L7-0234	并非如此		b79-m1-comparison-evaluation	b7-academic-logic		id_mismatch_no_simp	no
L7-0235	并非易事		b79-m1-comparison-evaluation	b7-academic-logic		id_mismatch_no_simp	no
L7-0236	并非偶然		b79-m1-comparison-evaluation	b7-academic-logic		id_mismatch_no_simp	no
L7-0237	并不见得		b79-m1-comparison-evaluation	b7-academic-logic		id_mismatch_no_simp	no
L7-0238	并不意味		b79-m1-comparison-evaluation	b7-academic-logic		id_mismatch_no_simp	no
L7-0239	播放器		b79-m1-comparison-evaluation	b7-tech-science		id_mismatch_no_simp	no
L7-0240	播种		b79-m1-comparison-evaluation	b7-nature-geography		id_mismatch_no_simp	no
L7-0241	驳回	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-politics-legal		simp_fallback	yes
L7-0242	博大精深		b79-m1-comparison-evaluation	b7-idioms-formal		id_mismatch_no_simp	no
L7-0243	博览会		b79-m1-comparison-evaluation	b7-finance-business		id_mismatch_no_simp	no
L7-0244	博士后		b79-m1-comparison-evaluation	b7-academic-work		id_mismatch_no_simp	no
L7-0245	博弈		b79-m1-comparison-evaluation	b7-academic-logic		id_mismatch_no_simp	no
L7-0246	薄弱		b79-m1-comparison-evaluation	b7-general-formal		id_mismatch_no_simp	no
L7-0247	补救	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-general-formal		simp_fallback	yes
L7-0248	补贴		b79-m1-comparison-evaluation	b7-finance-business		id_mismatch_no_simp	no
L7-0249	哺乳		b79-m1-comparison-evaluation	b7-health-medical		id_mismatch_no_simp	no
L7-0250	不大		b79-m1-comparison-evaluation	b7-general-formal		id_mismatch_no_simp	no
L7-0251	不动产		b79-m1-comparison-evaluation	b7-finance-business		id_mismatch_no_simp	no
L7-0252	不妨	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-social-nuance	polite	simp_fallback	yes
L7-0253	不敢当		b79-m1-comparison-evaluation	b7-social-nuance	polite	id_mismatch_no_simp	no
L7-0254	不敢恭维		b79-m1-comparison-evaluation	b7-social-nuance		id_mismatch_no_simp	no
L7-0255	不顾		b79-m1-comparison-evaluation	b7-social-nuance		id_mismatch_no_simp	no
L7-0256	不禁		b79-m1-comparison-evaluation	b7-social-emotions		id_mismatch_no_simp	no
L7-0257	不禁想起		b79-m1-comparison-evaluation	b7-social-emotions		id_mismatch_no_simp	no
L7-0258	不堪	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-general-formal		simp_fallback	yes
L7-0259	不堪入目		b79-m1-comparison-evaluation	b7-idioms-behavior		id_mismatch_no_simp	no
L7-0260	不堪重负		b79-m1-comparison-evaluation	b7-idioms-formal		id_mismatch_no_simp	no
L7-0261	不可思议	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-idioms-formal		simp_fallback	yes
L7-0262	不愧		b79-m1-comparison-evaluation	b7-social-virtues		id_mismatch_no_simp	no
L7-0263	不料		b79-m1-comparison-evaluation	b7-academic-logic		id_mismatch_no_simp	no
L7-0264	不三不四		b79-m1-comparison-evaluation	b7-idioms-behavior		id_mismatch_no_simp	no
L7-0265	不慎	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-general-formal		simp_fallback	yes
L7-0266	不时		b79-m1-comparison-evaluation	b7-general-formal		id_mismatch_no_simp	no
L7-0267	不由得	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-social-emotions		simp_fallback	yes
L7-0268	不由自主	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-idioms-behavior		simp_fallback	yes
L7-0269	不再		b79-m1-comparison-evaluation	b7-general-formal		id_mismatch_no_simp	no
L7-0270	不止		b79-m1-comparison-evaluation	b7-general-formal		id_mismatch_no_simp	no
L7-0271	不致		b79-m1-comparison-evaluation	b7-academic-logic		id_mismatch_no_simp	no
L7-0272	不足以		b79-m1-comparison-evaluation	b7-academic-logic		id_mismatch_no_simp	no
L7-0273	布告		b79-m1-comparison-evaluation	b7-culture-media		id_mismatch_no_simp	no
L7-0274	布局	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-tech-science		simp_fallback	yes
L7-0275	布置		b79-m1-comparison-evaluation	b7-general-formal		id_mismatch_no_simp	no
L7-0276	步伐	b79-m1-comparison-evaluation	b79-m1-comparison-evaluation	b7-politics-society		simp_fallback	yes
