status	unit	id	simp	gloss_en	defs	example_zh	example_en	key_tokens
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0290	关于	pertaining to	pertaining to | with regard to	我在找关于古罗马历史的书。	I'm looking for books on Roman history.	pertaining,regard
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0296	归	despite	despite	他把他的错误归咎于坏运气。	He ascribes his failure to bad luck.	despite
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0301	过分	excessive; undue	excessive	那太过分了。	That's too much.	excessive,undue
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0343	或许	perhaps; maybe	perhaps	我或许不善于社交,但这并不意味我不和别人交谈。	I may be antisocial, but it doesn't mean I don't talk to people.	perhaps,maybe
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0349	几乎	almost; nearly; practically	almost	在明天前完成报告几乎是不可能的。	Finishing the report by tomorrow is next to impossible.	almost,nearly,practically
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0356	极	extremely	extremely	这场秀棒极了，但是门票太贵了。	The show was wonderful, but the tickets were too expensive.	extremely
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0357	极其	extremely	extremely	他极其英俊。	He is tremendously handsome.	extremely
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0358	即将	about to; on the point of; soon	about to	这场谈论即将对污染问题展开讨论。	The talks will deal with the problem of pollution.	point,soon
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0368	既	already	already	我爸爸既不喝酒也不抽烟。	My father neither drinks nor smokes.	already
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0383	渐渐	gradually	gradually	墙上的纸渐渐脱落了。	The paper was beginning to peel off the walls.	gradually
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0407	尽快	as quickly as possible; as soon as possible	as quickly as possible | as soon as possible	我尽快需要。	I need it ASAP.	quickly,possible,soon
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0415	竟然	unexpectedly	unexpectedly	我太愚蠢了...我竟然试着给你解释我自己都不懂的东西。	I'm so dumb... I'm trying to explain things to you that I don't understand myself.	unexpectedly
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0418	究竟	to go to the bottom of a matter	to go to the bottom of a matter	那裡究竟發生了什麼事？	What exactly happened there?	bottom,matter
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0434	看来	apparently	apparently	在我看来很有意思！	It seems interesting to me.	apparently
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0469	离不开	inseparable	inseparable	我一天也离不开这本字典。	I cannot do without this dictionary even for a single day.	inseparable
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0472	立即	immediately	immediately	我們立即開始施工。	We'll begin work soon.	immediately
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0487	临时	as the time draws near	as the time draws near | at the last moment	因为临时有事，我很抱歉在2月27日那天不能跟你们碰面了。	I regret that I will be unable to meet you on February 27 owing to an unexpected matter.	time,draws,near,last,moment
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0492	陆续	in turn	in turn	客人陆续到达。	The guests arrived one after another.	turn
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0531	哪	sentence-final particle variant of 啊	sentence-final particle variant of 啊	谢谢你哪。	Thanks a lot.	sentence,final,particle,variant
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0534	难免	hard to avoid	hard to avoid | difficult to escape from	外交部长称战争在所难免。	The Foreign Minister said that war was inevitable.	hard,avoid,difficult,escape
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0679	说不定	can't say for sure	can't say for sure	谁能赢这场比赛还说不定。	It's still not certain who's going to win this match.	can,say,sure
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0755	未必	not necessarily	not necessarily | maybe not	這些資料未必可靠。	It is questionable whether this data can be relied on.	not,necessarily,maybe
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0840	呀	creaking	creaking	這是多古老的書本呀！	What an old book this is!	creaking
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0924	在于	to lie in	to lie in | to rest with	电视的优点在于它给体育爱好者提供了更大的方便。	Television has the advantage of providing sports fans with greater convenience.	lie,rest
REVIEW_EN_ALIGNMENT	b4-grammar	L4-0999	作为	one's conduct	one's conduct	我向你们承诺——我们作为一个整体将会达成目标。	I promise you, we as a people will get there.	conduct
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0018	办事	to work	to work | to handle	他严格按照原则办事。	He is a stickler for principles.	work,handle
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0073	产品	goods	goods	这个国家的主要产品之一是咖啡。	One of the main products of this country is coffee.	goods
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0159	担任	to hold a governmental office or post	to hold a governmental office or post | to serve as	我很高兴我们录用了你来担任这份工作。	I'm glad we hired you for this job.	hold,governmental,office,post,serve
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0276	工程	engineering	engineering | an engineering project	工程师告诉我们如何使用机器。	The engineer told us how to use the machine.	engineering,project
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0350	机构	mechanism	mechanism	我一得到一大笔钱就捐一部分给慈善机构。	Whenever I get a large sum of money, I donate some of it to charity.	mechanism
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0388	奖金	premium	premium	他把奖金存到银行了。	He deposited the prize money in the bank.	premium
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0410	进口	to import	to import	日本的石油依靠进口。	Japan depends on other countries for oil.	import
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0569	期限	time limit	time limit | allotted time	期限近了。	The deadline is approaching.	time,limit,allotted
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0578	前途	prospects	prospects	大好的前途摆在他面前。	A brilliant future lay before him.	prospects
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0637	失业	unemployment	unemployment	Mike已经失业1年了。	Mike has been out of work for a year.	unemployment
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0729	投资	investment	investment	谁来为风险投资提供资金？	Who will provide capital for the venture?	investment
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0804	项目	item	item	公司放弃了那个项目。	The company abandoned that project.	item
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0807	销售	to sell	to sell | to market	他在做销售工作。	He is doing sales work.	sell,market
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0811	效率	efficiency	efficiency	這餐廳的服務一點效率也沒有。	The service in this restaurant is none too fast.	efficiency
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0861	业余	in one's spare time	in one's spare time	观察鸟类是个很好的业余爱好。	Bird watching is a nice hobby.	spare,time
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0887	营业	to do business	to do business | to trade	顺便问一下，餐厅晚上几点钟开始营业？	By the way, may I ask when in the evening your restaurant opens?	business,trade
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0970	主席	chairperson	chairperson	他是会议的主席。	He is the chairman of the meeting.	chairperson
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0986	资源	resources	resources	唯一比无论什么资源都珍贵的是土地。	The one resource more precious than any other was land.	resources
REVIEW_EN_ALIGNMENT	b4-work-economy	L4-0992	总理	premier	premier	这是总理住的房子。	This is the house in which the prime minister lives.	premier
REVIEW_EN_ALIGNMENT	b4-society-culture	L4-0005	爱国	to love one's country	to love one's country	中国人的胃最爱国了。	Chinese people have the most patriotic stomachs.	love,country
REVIEW_EN_ALIGNMENT	b4-society-culture	L4-0061	财产	property	property	他留给他女儿一大笔财产。	He left his daughter a great fortune.	property
REVIEW_EN_ALIGNMENT	b4-society-culture	L4-0146	大会	general assembly	general assembly | general meeting	大家推举他到大会发言。	Everyone chose him to speak at the conference.	general,assembly,meeting
REVIEW_EN_ALIGNMENT	b4-society-culture	L4-0183	地位	position	position	这位科学家在国际上有很高的地位。	This scientist has a high status internationally.	position
REVIEW_EN_ALIGNMENT	b4-society-culture	L4-0292	官方	government	government	这是官方消息。	This news is official.	government
FAIL_ZH_MISSING_WORD	b4-society-culture	L4-0347	获奖	to win an award	to win an award	这部电影获了奖。	This movie won an award.	win,award
REVIEW_EN_ALIGNMENT	b4-society-culture	L4-0474	利益	benefit	benefit	從國際的觀點看，應該考慮推行人口政策來平衡兩方的利益。	A population policy should be considered on the international viewpoint so as to balance the interests of both sides.	benefit
REVIEW_EN_ALIGNMENT	b4-society-culture	L4-0524	名人	personage	personage	許多名人來這裡。	Lots of famous people come here.	personage
REVIEW_EN_ALIGNMENT	b4-society-culture	L4-0592	趋势	trend; tendency	trend	世界人口有上升的趨勢。	The world's population tends to increase.	trend,tendency
REVIEW_EN_ALIGNMENT	b4-society-culture	L4-0602	人家	household	household | household business	访客通常在进入一户日本人家之前会被要求脱鞋。	Visitors are usually asked to remove their shoes before they enter a Japanese house.	household,business
REVIEW_EN_ALIGNMENT	b4-society-culture	L4-0632	神话	legend	legend	保罗的成功是一个神话。	Paul's success was a myth.	legend
REVIEW_EN_ALIGNMENT	b4-society-culture	L4-0873	遗产	heritage	heritage	他继承了他爸爸的庞大遗产。	He succeeded to his father's large property.	heritage
REVIEW_EN_ALIGNMENT	b4-society-culture	L4-0879	义务	volunteer	volunteer	你有义务还债。	You are liable for the debt.	volunteer
REVIEW_EN_ALIGNMENT	b4-society-culture	L4-0946	政府	government	government	你知道从火车站到市政府有多远？	Do you know how far it is from the station to city hall?	government
REVIEW_EN_ALIGNMENT	b4-society-culture	L4-0947	政治	politics	politics	政治家从来不告诉我们他们的别有用心。	Politicians never tell us their inner thoughts.	politics
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0106	抽烟	to smoke	to smoke	数据表明年轻人抽烟的现象没有减少。	As is evident from the data, smoking is not decreasing among the young.	smoke
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0203	肚子	belly	belly	我的肚子有点儿疼。	My stomach hurts a bit.	belly
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0205	锻炼	to toughen	to toughen | to temper	我已经好久没有去锻炼了。	I haven't exercised in a long time.	toughen,temper
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0382	健身	to exercise	to exercise | physical exercise	你今天去不去健身房？	Are you going to the gym today?	exercise,physical
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0414	精力	energy	energy	他把全部精力放到实验中了。	All his energies were devoted to the experiment.	energy
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0464	泪	teardrops	teardrops	她的眼里涌出了泪水。	Her eyes gushed with tears.	teardrops
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0465	泪水	teardrop	teardrop	她的眼里涌出了泪水。	Her eyes gushed with tears.	teardrop
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0480	疗养	to get well	to get well | to heal	是我发现她的。她当时已经失去了意识，所以我把她送到了疗养院。	It was I who found her. She'd lost consciousness, so I carried her to the infirmary.	get,well,heal
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0535	脑袋	head	head	这几天我脑袋里的事情太多了。	I have too many things on my mind these days.	head
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0539	内科	internal medicine; general medicine	internal medicine | general medicine	他看到了一位內科醫師。	He saw a physician.	internal,medicine,general
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0576	器官	apparatus	apparatus	舌头和上颚都是味觉器官。	The tongue and the palate are the taste organs.	apparatus
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0628	身材	stature	stature	现代版旗袍因能突显女人的身材而闻名。	The modernized version of the qipao is noted for accentuating the female figure.	stature
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0657	手术	surgery	surgery	自从手术后，我父亲一直处于良好的状态。	My father has been in good shape since his operation.	surgery
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0777	吸烟	to smoke	to smoke	吸烟有害健康。	Smoking affects your health.	smoke
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0813	心理	psychology	psychology	他主要是心理的問題。	His trouble was chiefly mental.	psychology
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0837	牙	tooth	tooth	我希望将来成为一名牙医。	I wish to become a dentist in the future.	tooth
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0852	眼泪	tear; teardrop	tear	但是说真的，第21集让我笑得眼泪都要出来了。	Seriously though, episode 21 made me almost cry while laughing.	tear,teardrop
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0859	药物	medicaments	medicaments	这种药物很好。	This medicine is very good.	medicaments
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0918	运动会	sports competition	sports competition	Jane在运动会之前把头发剃短了。	Jane had her hair cut short before the athletic meet.	sports,competition
REVIEW_EN_ALIGNMENT	b4-health-fitness	L4-0958	治疗	therapy	therapy	预防措施比真正的治疗更有效。	Preventive measures are much more effective than the actual treatment.	therapy
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0026	宝贵	valuable	valuable	时间是世界上最宝贵的东西。	Time is the most precious thing in the world.	valuable
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0082	彻底	thorough	thorough	春天，我想要彻底打扫房子。	I want to do spring cleaning.	thorough
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0102	充分	ample	ample	今晚我们有充分的时间。	We have plenty of time tonight.	ample
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0119	纯	pure	pure	那个发现纯属偶然。	That discovery was quite accidental.	pure
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0186	典型	model	model	他是典型的日本人。	He is a typical Japanese.	model
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0199	独特	unique; distinctive	unique	南非的祖魯族人有著自己獨特的語言。	The Zulu tribe in South Africa has its own language.	unique,distinctive
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0287	怪	bewildering	bewildering	难怪她表示不想再见到他了。因为他们分手了。	No wonder she doesn't want to see him again. Because they broke up.	bewildering
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0354	激烈	acute	acute	我们讨论得很激烈。	We had a heated discussion.	acute
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0376	坚固	firm	firm	这个梯子是否足够坚固以承受我的重量？	Is this ladder strong enough to bear my weight?	firm
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0413	经典	the classics	the classics	麥根沙士被視為一種經典的美式碳酸飲品。	Root beer is considered a classic American carbonated soft drink.	classics
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0441	空	empty	empty | to empty	我曾經想過當個太空物理學家。	I once wanted to be an astrophysicist.	empty
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0557	片面	unilateral	unilateral	关于这个问题，我觉得垃圾媒体只报道了很片面的信息。	Concerning this issue, I feel that the trash media only report biased information.	unilateral
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0558	品质	character	character	这些产品质量同等。	These products are of the same quality.	character
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0563	迫切	urgent; pressing	urgent	我迫切需要冷饮。	I'm dying for a cold drink.	urgent,pressing
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0587	清醒	clear-headed	clear-headed	咖啡讓我在沉悶的音樂會中保持清醒。	The coffee enabled me to stay awake during the dull concert.	clear,headed
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0635	失败	to be defeated	to be defeated | to lose	他试图游过河，但是失败了。	He failed in his attempt to swim across the river.	defeated,lose
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0642	实用	to apply in practice	to apply in practice	有一台笔记本电脑很实用。	It's practical to have a laptop.	apply,practice
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0664	舒适	cozy	cozy	当你坐在一把舒适的椅子上的时候，更容易学习。	It is easier to study when you are sitting in a comfortable chair.	cozy
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0665	熟练	practiced	practiced	熟练的士兵知道怎么以他们的环境为武器。	Skilled soldiers know how to use their environment as a weapon.	practiced
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0699	特殊	special	special	这牛奶有特殊的气味。	This milk has a peculiar smell.	special
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0700	特征	characteristic	characteristic	同事在课堂上用“特征”举了一个例子。	The colleague used "特征" in an example during class.	characteristic
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0724	统一	unified	unified	欧洲人统一有可能吗？	Is a common European identity possible?	unified
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0794	显著	outstanding	outstanding	新方法让效率显著提高。	The new method significantly improved efficiency.	outstanding
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0834	学问	learning; knowledge; scholarship	learning	翻译是一门学问。	Translation is a scholarly discipline.	learning,knowledge,scholarship
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0869	一致	consistent; unanimous; in agreement	consistent	你的言行必须一致。	Your words must correspond with your actions.	consistent,unanimous,agreement
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0892	用途	use; application	use	文字處理軟件和電腦不同的是，它只有一個用途。	Compared to a computer, a word processor has a single purpose.	use,application
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0893	优良	fine	fine	他成绩优良。	His grades are good.	fine
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0895	优秀	outstanding; excellent	outstanding	爱迪生不是个优秀的学生。	Edison was not a bright student.	outstanding,excellent
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0914	圆满	satisfactory; consummate; perfect	satisfactory	我偏好結局圓滿的小說。	I prefer novels that have a happy ending.	satisfactory,consummate,perfect
REVIEW_EN_ALIGNMENT	b4-opinion	L4-0990	综合	comprehensive	comprehensive	所有意见是真相和错误的综合。	Every opinion is a mixture of truth and mistakes.	comprehensive
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0025	宝贝	treasured object	treasured object	妈妈亲了她的宝贝。	The mother kissed her baby.	treasured,object
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0150	大妈	father's elder brother's wife	father's elder brother's wife	楼下的大妈很热心。	The aunt downstairs is very warm-hearted.	father,elder,brother,wife
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0227	翻译	to translate	to translate | to interpret	因为我想成为翻译。	Because I want to be a translator.	translate,interpret
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0240	分手	to part company	to part company | to split up	难怪她表示不想再见到他了。因为他们分手了。	No wonder she doesn't want to see him again. Because they broke up.	part,company,split
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0250	夫妇	husband and wife	husband and wife	史密斯夫妇现在分居了。	Mr. and Mrs. Smith live apart from each other now.	husband,wife
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0252	夫人	lady	lady	王夫人正在准备早饭。	Mrs. Wang is preparing breakfast.	lady
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0272	个体	individual	individual	他是个体户。	He is a self-employed worker.	individual
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0341	伙	companion	companion	他是个无可救药的家伙。	He's a hopeless case.	companion
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0342	伙伴	partner	partner	他和他的伙伴让我跟他们一起去。	He and his companion asked me to come along with them.	partner
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0445	会计	accountant	accountant	你懂会计吗？	Do you know accounting?	accountant
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0513	秘书	secretary	secretary	她在超市做秘书。	She is a clerk in the supermarket.	secretary
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0532	男女	male-female	male-female | male and female	現在不止要男女薪金平等，而且還要平均分配家務。	It is time not only to equalize men's and women's wages, but also to equalize responsibility for housework.	male,female
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0582	亲爱	dear	dear	亲爱的，我们跳舞吧。	Let's dance, my darling.	dear
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0583	亲密	intimate	intimate	他们看起来很亲密。	They look pretty close.	intimate
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0629	身份	role	role	学生不该忽略自己的身份。	A student should not lose sight of his own identity.	role
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0639	诗人	bard	bard	那位诗人今天来学校演讲。	That poet came to the school to give a talk today.	bard
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0675	帅哥	handsome guy	handsome guy | handsome	那位帅哥是我们的老师。	That young man is our teacher.	handsome,guy
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0691	孙子	general	general	有一位奶奶带着小孙子上学。	A grandmother is sending her grandson to school.	general
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0722	童年	childhood	childhood	这张照片让我想起童年的快乐时光。	This photograph reminds me of enjoyable times when I was a child.	childhood
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0745	王	grand	grand	我長大後想當國王。	When I grow up, I want to be a king.	grand
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0809	小伙子	young man	young man | young guy	她看不起这个小伙子。	She scorned the boy.	young,man,guy
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0919	运动员	athlete	athlete	我在想哪个跑步运动员会跑第一。	I wonder which of the runners will come first.	athlete
REVIEW_EN_ALIGNMENT	b4-people-relationships	L4-0931	战士	fighter	fighter	那位战士退役后当了老师。	That soldier became a teacher after retiring from service.	fighter
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0003	矮	low	low	我把他叫做「矮子」，他就氣得不得了。	He got mad at me for calling him Shorty.	low
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0044	表情	expression	expression	從他們的表情可以知道，他們大概是失敗了。	From the way they look, I would say that they failed.	expression
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0080	潮流	tide	tide	跟上最近潮流时尚是件非常花钱的事儿。	It is very expensive to keep up with the latest fashions.	tide
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0165	淡	insipid	insipid	我相信這條魚是淡水魚。	I believe this fish is a freshwater fish.	insipid
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0237	肥	fat	fat	我想减肥。	I want to lose weight.	fat
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0245	风格	style	style	你喜欢什么风格的音乐？	What kind of music do you like?	style
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0322	厚	thick	thick	我对你的厚颜无耻感到惊讶。	I am amazed at your audacity.	thick
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0542	浓	concentrated	concentrated	为什么喜欢喝浓咖啡？	Why do you like coffee strong?	concentrated
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0610	色	color	color	这是我见过最美的景色了。	This is the most beautiful sight that I have ever seen.	color
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0611	色彩	tint; coloring; coloration	tint	这里的色彩很漂亮。	The colors here are very beautiful.	tint,coloring,coloration
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0674	帅	cool!	cool!	他很年轻，更重要的是，他很帅。	He is young and, what is more, handsome.	cool
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0731	透明	transparent	transparent	你半透明的裙子让我高度兴奋。	I am completely agog over your diaphanous dress.	transparent
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0738	袜子	socks	socks	你的袜子上有个大洞。	You've got a big hole in your sock.	socks
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0771	五颜六色	multicolored	multicolored	房子里有很多五颜六色的花。	There are many colorful flowers in the house.	multicolored
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0784	细致	delicate	delicate	这两张图片之间有细致的差异。	There are subtle differences between the two pictures.	delicate
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0792	鲜明	distinct	distinct	广场被鲜明的灯火照亮。	The square was illuminated by bright lights.	distinct
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0851	眼镜	spectacles	spectacles	他总是带着黑色眼镜。	He always wears dark glasses.	spectacles
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0894	优美	graceful	graceful	新疆有许多风景优美的地方。	There are many scenic places in Xinjiang.	graceful
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0913	圆	circle	circle	她有张圆脸。	She has a round face.	circle
REVIEW_EN_ALIGNMENT	b4-appearance-fashion	L4-0928	造型	to model; to shape	to model | to shape	这个雕塑的造型很独特。	The form of this sculpture is very unique.	model,shape
REVIEW_EN_ALIGNMENT	b4-feelings	L4-0007	安	calm	calm | to calm	随着时间的推移，比赛增加了规则以使之更安全。	As time went on, rules were added to the game to make it safer.	calm
REVIEW_EN_ALIGNMENT	b4-feelings	L4-0085	沉重	heavy	heavy	她的脚步沉重地落在木地板上。	Her footsteps fell ponderously on the wooden floor.	heavy
REVIEW_EN_ALIGNMENT	b4-feelings	L4-0094	吃惊	to be startled	to be startled | to be amazed	我听到这个消息很吃惊。	I was surprised at the news.	startled,amazed
REVIEW_EN_ALIGNMENT	b4-feelings	L4-0160	担心	anxious	anxious | to be anxious	他一直很担心他的女儿。	He's always worrying about his daughter.	anxious
REVIEW_EN_ALIGNMENT	b4-feelings	L4-0171	得意	proud of oneself	proud of oneself | pleased with oneself	凡人皆有得意时。	Every dog has his day.	proud,oneself,pleased
